id,lat,lon,user,uid,version,changeset,timestamp
29193457,52.519706,13.3904474,Bot45715,111462,5,17559555,2013-08-28T18:27:06Z
29193491,52.5188487,13.3960987,Konrad Aust,115651,3,2926450,2009-10-23T03:36:56Z
29193492,52.5186007,13.3976574,anbr,43566,7,29185491,2015-03-01T20:34:41Z
29193493,52.5187463,13.395058,le chuck,61263,4,7603493,2011-03-19T11:02:38Z
29193494,52.5183313,13.3951541,Markus59,39457,7,14894794,2013-02-03T11:54:27Z
29193495,52.5184008,13.3961006,Markus59,39457,7,14894794,2013-02-03T11:54:27Z
29193496,52.5184802,13.3960823,wasat,5453,7,9437685,2011-09-30T18:44:42Z
29193497,52.5176398,13.3978887,anbr,43566,7,29185491,2015-03-01T20:34:41Z
29193498,52.5182354,13.3977831,anbr,43566,4,29185491,2015-03-01T20:34:41Z
29194635,52.5200549,13.3991651,anbr,43566,7,30313476,2015-04-18T18:43:46Z
29194641,52.5194081,13.3975928,anbr,43566,6,30313476,2015-04-18T18:43:46Z
29194657,52.5185964,13.398814,mapper999,165061,7,41499005,2016-08-16T20:52:36Z
29194660,52.5183464,13.3990695,wasat,5453,6,9610536,2011-10-20T17:37:01Z
29194664,52.5188686,13.3985362,wasat,5453,7,9610536,2011-10-20T17:37:01Z
29194666,52.5195181,13.39786,anbr,43566,8,30313476,2015-04-18T18:43:46Z
29194669,52.5178228,13.3996101,anbr,43566,8,29185491,2015-03-01T20:34:41Z
29207416,52.5162148,13.395208,wicking,102755,9,5265375,2010-07-19T21:25:05Z
29207417,52.5161845,13.3953226,Bot45715,111462,13,15733284,2013-04-15T06:53:59Z
29207418,52.5151553,13.3955002,Biff,329453,11,39237580,2016-05-11T09:50:11Z
29207420,52.5171923,13.3931717,taxi-adem,2426081,6,32048091,2015-06-18T10:46:46Z
29207422,52.517559,13.3980506,Bot45715,111462,11,29250527,2015-03-04T18:34:19Z
29207423,52.5157998,13.3995934,wasat,5453,3,9614735,2011-10-21T09:08:09Z
29207427,52.5170205,13.3975199,wasat,5453,5,9614735,2011-10-21T09:08:09Z
29207429,52.517393,13.3974378,geozeisig,66391,6,12032992,2012-06-27T05:46:38Z
29207430,52.5166799,13.3964867,wicking,102755,4,5142354,2010-07-05T14:06:47Z
29207432,52.5163126,13.3991357,wasat,5453,3,9614735,2011-10-21T09:08:10Z
29207433,52.5155891,13.3987352,wasat,5453,6,9614735,2011-10-21T09:08:11Z
29207837,52.5143491,13.3969553,wicking,102755,5,6869181,2011-01-05T08:33:26Z
29207838,52.5133442,13.3955864,Konrad Aust,115651,3,2730061,2009-10-03T22:46:35Z
29207839,52.5132118,13.3962132,anbr,43566,3,36307191,2016-01-01T21:59:25Z
29207840,52.5133438,13.3971734,anbr,43566,5,36307191,2016-01-01T21:59:25Z
29207842,52.5132438,13.3992626,geozeisig,66391,4,8721075,2011-07-14T11:37:24Z
29207847,52.5120297,13.4001403,anbr,43566,4,36307191,2016-01-01T21:59:25Z
29207858,52.5128589,13.3980712,geozeisig,66391,4,8721075,2011-07-14T11:37:24Z
